# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.housekeeperTimeSpentMs,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1756515620662000000,1756515628432000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1756515620662000000,1756515628432000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1756515620662000000,1756515628432000000,41959424
FilePageCache.totalPageDisposalsUs,1756515620662000000,1756515628432000000,359
FilePageCacheLockFree.totalPagesWritten,1756515620662000000,1756515628432000000,0
FilePageCache.maxCacheSizeInBytes,1756515620662000000,1756515628432000000,195051520
FilePageCacheLockFree.totalClosedStoragesReclaimed,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalBytesWritten,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalBytesRead,1756515620662000000,1756515628432000000,0
FilePageCache.totalPageLoadsUs,1756515620662000000,1756515628432000000,205865
StorageLockContext.competingThreads.max,1756515620662000000,1756515628432000000,0
StorageLockContext.competingThreads.avg,1756515620662000000,1756515628432000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1756515620662000000,1756515628432000000,41959424
FilePageCacheLockFree.totalNativeBytesAllocated,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalPagesReadMs,1756515620662000000,1756515628432000000,0
FilePageCache.disposedBuffers,1756515620662000000,1756515628432000000,193
DirectByteBufferAllocator.disposed,1756515620662000000,1756515628432000000,146
FilePageCacheLockFree.nativeBytesInUse,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalPagesHandedOver,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalPagesRequested,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalPagesReclaimed,1756515620662000000,1756515628432000000,0
DirectByteBufferAllocator.hits,1756515620662000000,1756515628432000000,5
FilePageCache.capacityInBytes,1756515620662000000,1756515628432000000,503316478
StorageLockContext.competingThreads.90P,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalPagesAllocated,1756515620662000000,1756515628432000000,0
DirectByteBufferAllocator.reclaimed,1756515620662000000,1756515628432000000,47
FilePageCacheLockFree.housekeeperTurnsDone,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1756515620662000000,1756515628432000000,0
FilePageCache.pageFastCacheHits,1756515620662000000,1756515628432000000,13126
FilePageCache.pageLoadsAboveSizeThreshold,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1756515620662000000,1756515628432000000,0
FilePageCache.maxRegisteredFiles,1756515620662000000,1756515628432000000,520
FilePageCacheLockFree.totalPagesWriteMs,1756515620662000000,1756515628432000000,0
FilePageCacheLockFree.heapBytesInUse,1756515620662000000,1756515628432000000,0
DirectByteBufferAllocator.misses,1756515620662000000,1756515628432000000,188
FilePageCache.uncachedFileAccess,1756515620662000000,1756515628432000000,336
FilePageCache.pageLoads,1756515620662000000,1756515628432000000,193
FilePageCacheLockFree.totalBytesRequested,1756515620662000000,1756515628432000000,0
FilePageCache.pageHits,1756515620662000000,1756515628432000000,0
AWTEventQueue.dispatchTimeTotalNS,1756515620662000000,1756515628432000000,1390366685
cacheStateStorage.get.duration,1756515620662000000,1756515628432000000,0
cacheStateStorage.get.counter,1756515620662000000,1756515628432000000,5
cacheStateStorage.set.duration,1756515620662000000,1756515628432000000,23
cacheStateStorage.set.counter,1756515620662000000,1756515628432000000,4
Indexing.totalTimeIndexersSleptMs,1756515620662000000,1756515628432000000,0
Indexing.writesQueuedMin,1756515620662000000,1756515628432000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1756515620662000000,1756515628432000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1756515620662000000,1756515628432000000,0
Indexing.cache.totalCacheEvicted,1756515620662000000,1756515628432000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1756515620662000000,1756515628432000000,0
Indexing.cache.totalCacheAccesses,1756515620662000000,1756515628432000000,0
Indexing.cache.totalCacheMisses,1756515620662000000,1756515628432000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1756515620662000000,1756515628432000000,0
Indexing.writesQueuedAvg,1756515620662000000,1756515628432000000,0.0
Indexing.writesQueuedMax,1756515620662000000,1756515628432000000,0
jps.global.get.library.ms,1756515620662000000,1756515628432000000,0
jps.global.handle.before.change.events.ms,1756515620662000000,1756515628432000000,0
workspaceModel.global.updates.ms,1756515620662000000,1756515628432000000,0
jps.save.global.entities.ms,1756515620662000000,1756515628432000000,76
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1756515620662000000,1756515628432000000,0
jps.library.entities.serializer.save.entities.ms,1756515620662000000,1756515628432000000,0
jps.app.storage.content.writer.save.component.ms,1756515620662000000,1756515628432000000,4
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1756515620662000000,1756515628432000000,0
workspaceModel.load.cache.from.file.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1756515620662000000,1756515628432000000,0
jps.global.initialize.library.bridges.after.loading.ms,1756515620662000000,1756515628432000000,2
jps.library.entities.serializer.load.entities.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1756515620662000000,1756515628432000000,0
workspaceModel.load.cache.metadata.from.file.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1756515620662000000,1756515628432000000,0
workspaceModel.sync.entities.ms,1756515620662000000,1756515628432000000,0
workspaceModel.global.updates.count,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1756515620662000000,1756515628432000000,0
jps.global.get.libraries.ms,1756515620662000000,1756515628432000000,0
jps.load.initial.state.ms,1756515620662000000,1756515628432000000,20
jps.global.handle.changed.events.ms,1756515620662000000,1756515628432000000,0
workspaceModel.save.cache.to.file.ms,1756515620662000000,1756515628432000000,0
workspaceModel.global.apply.state.to.project.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1756515620662000000,1756515628432000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1756515620662000000,1756515628432000000,0
jps.app.storage.content.reader.load.component.ms,1756515620662000000,1756515628432000000,1
workspaceModel.mutableEntityStorage.instances.count,1756515620662000000,1756515628432000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.entities.ms,1756515620662000000,1756515628432000000,2
jps.global.initialize.library.bridges.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1756515620662000000,1756515628432000000,1
jps.global.get.library.by.name.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1756515620662000000,1756515628432000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1756515620662000000,1756515628432000000,0
VFS.fileChildByName,1756515620662000000,1756515628432000000,20
VFS.invertedFileNameIndex.requests,1756515620662000000,1756515628432000000,0
VFS.fileByIdCache.hits,1756515620662000000,1756515628432000000,0
VFS.fileByIdCache.misses,1756515620662000000,1756515628432000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1756515620662000000,1756515628432000000,2
writeAction.wait.ms,1756515620662000000,1756515628432000000,3
DiskQueryRelay.tasksExecuted,1756515620662000000,1756515628432000000,28
writeAction.max.wait.ms,1756515620662000000,1756515628432000000,3
writeAction.count,1756515620662000000,1756515628432000000,2
writeAction.median.wait.ms,1756515620662000000,1756515628432000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1756515620662000000,1756515628432000000,10443
DiskQueryRelay.tasksRequested,1756515620662000000,1756515628432000000,28
DiskQueryRelay.taskWaitingTotalTimeUs,1756515620662000000,1756515628432000000,61310
